gene_id,chr,pos,abs_d,cohens_d,description,cog_description,func_category,signaling_layer,all_layers,tf_families,n_families,log2fc_drought,drought_cat,go_biological,kegg_pathway,n_variant_hybrids,n_ref_hybrids
Zm00001eb425980,chr10,131196529,1.682304387969365,-1.682304387969365,XP_004976131.2 gamma-tubulin complex component 2 [Setaria italica],Gamma-tubulin complex is necessary for microtubule nucleation at the centrosome,Unknown,Unknown,Unknown,"CPP,MIKC_MADS,MYB,SBP",4,1.079,Strong up,,,11,6
Zm00001eb427480,chr10,135806526,1.7246015035091242,1.7246015035091242,XP_002446858.1 serine/threonine-protein kinase GRIK1 [Sorghum bicolor],Belongs to the protein kinase superfamily,Unknown,Signal Transduction,Signal Transduction|Transcription Factor|Metabolism,Trihelix,1,0.063,Stable,,"ko04140,ko04152,ko04211,ko04920,ko04921,ko05034,map04140,map04152,map04211,map04920,map04921,map05034",7,10
Zm00001eb429910,chr10,142142497,2.7576048593546143,2.7576048593546143,XP_021319757.1 uncharacterized protein LOC8060472 isoform X2 [Sorghum bicolor],Phosphoenolpyruvate carboxykinase,Unknown,Signal Transduction,Signal Transduction|Metabolism|Hormone,"G2-like,MYB",2,0.335,Stable,,,9,5
Zm00001eb431330,chr10,145438301,3.4188105289396575,3.4188105289396575,XP_021319423.1 uncharacterized protein LOC110436532 [Sorghum bicolor],DNA binding domain with preference for A/T rich regions,Unknown,Unknown,Unknown,"C2H2,ERF,TALE",3,-0.258,Stable,,,3,13
Zm00001eb000920,chr1,3262750,1.008744758576002,1.008744758576002,XP_021302596.1 serine/threonine-protein kinase OSR1-like isoform X1 [Sorghum bicolor],Protein kinase domain,Unknown,Signal Transduction,Signal Transduction|Metabolism,C2H2,1,0.049,Stable,,,8,10
Zm00001eb001150,chr1,3789618,2.0803573236363664,2.0803573236363664,XP_004985979.2 vacuolar protein 8 isoform X1 [Setaria italica],Armadillo/beta-catenin-like repeats,Unknown,Unknown,Unknown,NAC,1,-0.537,Stable,,,12,7
Zm00001eb001340,chr1,4078949,3.0172447030203235,3.0172447030203235,XP_002468628.2 hydroxymethylglutaryl-CoA synthase [Sorghum bicolor],"This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is ",Unknown,Metabolism,Metabolism,"ERF,LBD,TALE",3,1.336,Strong up,,"ko00072,ko00280,ko00650,ko00900,ko01100,ko01110,ko01130,map00072,map00280,map00650,map00900,map01100,map01110,map01130",4,9
Zm00001eb002060,chr1,5896996,3.089173372090931,3.089173372090931,"XP_002468591.1 ADP,ATP carrier protein 1, mitochondrial [Sorghum bicolor]",Belongs to the mitochondrial carrier (TC 2.A.29) family,Unknown,Membrane/Transport,Membrane/Transport,"HSF,LBD",2,1.322,Strong up,,"ko04020,ko04022,ko04217,ko04218,ko05012,ko05016,ko05166,map04020,map04022,map04217,map04218,map05012,map05016,map05166",5,8
Zm00001eb002200,chr1,6246228,1.831745903607489,1.831745903607489,nan,nan,Unknown,Unknown,Unknown,"ARF,C2H2",2,1.034,Strong up,,,14,5
Zm00001eb004440,chr1,12270743,2.237456691760147,-2.237456691760147,XP_002468472.1 probable serine/threonine-protein kinase PBL16 [Sorghum bicolor],Belongs to the protein kinase superfamily,Unknown,Signal Transduction,Signal Transduction|Transcription Factor|Metabolism,"C2H2,G2-like,GRAS,MIKC_MADS",4,-0.639,Stable,,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map051",12,5
Zm00001eb005920,chr1,16845468,3.900235613086104,3.900235613086104,XP_002468402.1 probable lipoxygenase 6 [Sorghum bicolor],Plant lipoxygenase may be involved in a number of diverse aspects of plant physi,Unknown,Unknown,Unknown,"ARF,MYB,bHLH",3,1.824,Strong up,,"ko00591,ko00592,ko01100,ko01110,map00591,map00592,map01100,map01110",14,4
Zm00001eb006410,chr1,17983879,2.2701140403215683,2.2701140403215683,XP_040378548.1 tryptamine benzoyltransferase 1-like [Oryza brachyantha],hydroxycinnamoyltransferase activity,Unknown,Metabolism,Metabolism,"C2H2,ERF,MYB",3,-1.169,Strong down,,"ko00940,ko00941,ko00945,ko01100,ko01110,map00940,map00941,map00945,map01100,map01110",5,14
Zm00001eb006880,chr1,19882546,1.6360159962413543,1.6360159962413543,XP_002465720.1 uncharacterized protein LOC8057635 isoform X1 [Sorghum bicolor],N-terminal cysteine-rich region of Transmembrane protein 135,Unknown,Membrane/Transport,Membrane/Transport,"GATA,MYB",2,1.275,Strong up,,,5,10
Zm00001eb009870,chr1,30883530,2.263909599998336,-2.263909599998336,XP_002468212.1 uncharacterized protein LOC8056841 [Sorghum bicolor],nan,Unknown,Unknown,Unknown,"C2H2,TALE,bZIP",3,-0.046,Stable,,,6,10
Zm00001eb010370,chr1,32844672,2.252685603445886,-2.252685603445886,XP_004985039.1 actin-depolymerizing factor 5 [Setaria italica],Belongs to the actin-binding proteins ADF family,Unknown,Signal Transduction,Signal Transduction,ERF,1,-0.291,Stable,,"ko04360,ko04666,ko04810,ko05133,map04360,map04666,map04810,map05133",4,12
Zm00001eb010730,chr1,34330835,1.524366505225603,1.524366505225603,XP_022678693.1 uncharacterized protein LOC111255782 isoform X2 [Setaria italica],Calcium-binding EF-hand family protein,Unknown,Signal Transduction,Signal Transduction,"ERF,TALE",2,-0.17,Stable,,,7,11
Zm00001eb010900,chr1,34878903,3.0203014131688506,3.0203014131688506,"XP_002465546.1 phosphomevalonate kinase, peroxisomal [Sorghum bicolor]",GHMP kinases N terminal domain,Unknown,Signal Transduction,Signal Transduction|Metabolism,SBP,1,1.683,Strong up,,"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130",3,15
Zm00001eb011240,chr1,36186619,1.5296868605696086,1.5296868605696086,XP_021307532.1 L-type lectin-domain containing receptor kinase IV.2 [Sorghum bicolor],Legume lectin domain,Unknown,Receptor/Sensor,Receptor/Sensor|Signal Transduction|Metabolism,"EIL,SBP,bHLH",3,-0.022,Stable,,,7,9
Zm00001eb011630,chr1,37980846,2.3673147899655183,2.3673147899655183,XP_002468136.1 uncharacterized TPR repeat-containing protein At1g05150 [Sorghum bicolor],"Zinc-binding domain, present in Dystrophin, CREB-binding protein.",Unknown,Signal Transduction,Signal Transduction,"GATA,HD-ZIP,MYB_related",3,-0.564,Stable,,,8,6
Zm00001eb012570,chr1,41377778,3.1836539394163976,-3.1836539394163976,XP_002465466.1 cysteine-rich repeat secretory protein 55 [Sorghum bicolor],Salt stress response/antifungal,Unknown,Unknown,Unknown,"ARF,HD-ZIP,Nin-like,WOX",4,-0.35,Stable,,,5,8
Zm00001eb012950,chr1,42980657,2.072267985348476,-2.072267985348476,XP_004984794.1 protein MODIFIER OF SNC1 11 [Setaria italica],Protein MODIFIER OF SNC1,Unknown,Unknown,Unknown,"AP2,MIKC_MADS,Trihelix",3,0.409,Stable,,,7,9
Zm00001eb013300,chr1,44344832,1.6498308938673911,-1.6498308938673911,XP_004984847.1 protein YIPF5 homolog [Setaria italica],Yip1 domain,Unknown,Unknown,Unknown,"ARF,MYB,Trihelix",3,1.029,Strong up,,,9,9
Zm00001eb014600,chr1,48970900,1.7351969075308251,1.7351969075308251,"XP_002467982.1 calvin cycle protein CP12-1, chloroplastic [Sorghum bicolor]",CP12,Unknown,Unknown,Unknown,"CPP,Dof,MIKC_MADS",3,0.334,Stable,,,7,11
Zm00001eb016330,chr1,57058153,2.6286276750149615,-2.6286276750149615,"XP_021302118.1 putative GTP diphosphokinase RSH1, chloroplastic [Sorghum bicolor]",TGS domain,Unknown,Signal Transduction,Signal Transduction|Metabolism,"B3,C2H2,NAC",3,-0.294,Stable,,"ko00230,map00230",9,8
Zm00001eb016800,chr1,59904185,1.3864165469043874,1.3864165469043874,XP_002467862.1 zinc finger protein CONSTANS-LIKE 13 [Sorghum bicolor],CCT motif,Unknown,Transcription Factor,Transcription Factor,"CAMTA,NAC,Nin-like",3,0.942,Stable,,,13,4
Zm00001eb017050,chr1,60926702,1.1137561866149133,1.1137561866149133,XP_002467852.1 U4/U6 small nuclear ribonucleoprotein PRP4-like protein [Sorghum bicolor],source UniProtKB,Unknown,Unknown,Unknown,"C2H2,NAC",2,0.562,Stable,,"ko03040,map03040",4,9
Zm00001eb019230,chr1,68998584,4.5395507311740175,-4.5395507311740175,nan,nan,Unknown,Unknown,Unknown,"Dof,WRKY",2,0.769,Stable,,,10,5
Zm00001eb019370,chr1,69764971,2.5685487774525666,2.5685487774525666,nan,nan,Unknown,Unknown,Unknown,"C2H2,SBP",2,-0.334,Stable,,,4,14
Zm00001eb019800,chr1,72171126,2.0850946858589463,-2.0850946858589463,XP_021304947.1 E3 ubiquitin-protein ligase BRE1-like 2 isoform X1 [Sorghum bicolor],E3 ubiquitin-protein ligase BRE1-like,Unknown,Protein Processing,Protein Processing|Metabolism,"ARF,C2H2,MYB,Nin-like,RAV",5,0.287,Stable,,,8,7
Zm00001eb020110,chr1,74030656,2.288149136505908,2.288149136505908,XP_002465124.1 protein SPIRAL1-like 1 [Sorghum bicolor],SPIRAL1-like,Unknown,Unknown,Unknown,"Dof,MYB",2,-0.326,Stable,,,7,6
Zm00001eb020690,chr1,77561196,4.470013059440195,-4.470013059440195,nan,nan,Unknown,Unknown,Unknown,"CAMTA,NAC,SBP",3,0.694,Stable,,,4,9
Zm00001eb021800,chr1,83001127,2.653164141231232,2.653164141231232,XP_002467594.1 transcription repressor OFP8 [Sorghum bicolor],"Transcriptional repressor, ovate",Unknown,Unknown,Unknown,"ERF,NAC",2,1.122,Strong up,,,3,15
Zm00001eb022040,chr1,84277355,2.999940321939209,2.999940321939209,"XP_004983812.1 protein CURVATURE THYLAKOID 1B, chloroplastic [Setaria italica]",CAAD domains of cyanobacterial aminoacyl-tRNA synthetase,Unknown,Translation,Translation,"G2-like,RAV,TCP",3,-1.338,Strong down,,,7,12
Zm00001eb022580,chr1,86777664,3.6209706774235326,-3.6209706774235326,XP_002465000.1 hippocampus abundant transcript 1 protein [Sorghum bicolor],Hippocampus abundant transcript-like protein,Unknown,Signal Transduction,Signal Transduction,"ERF,MYB,Nin-like,TALE,WRKY",5,-1.748,Strong down,,,15,3
Zm00001eb022750,chr1,87656463,1.3956871185277226,1.3956871185277226,XP_002464994.1 cyclin-dependent protein kinase inhibitor SMR1 [Sorghum bicolor],Cyclin-dependent protein kinase inhibitor,Unknown,Signal Transduction,Signal Transduction|Metabolism,"ERF,SBP,TALE",3,0.764,Stable,,,8,11
Zm00001eb023130,chr1,90313646,2.1932050567132197,2.1932050567132197,XP_002464960.2 uncharacterized protein LOC8058747 [Sorghum bicolor],Zinc finger protein,Unknown,Transcription Factor,Transcription Factor,"G2-like,GATA,MYB,SBP",4,-0.708,Stable,,,10,9
Zm00001eb023220,chr1,91377437,2.27054529992127,2.27054529992127,nan,nan,Unknown,Unknown,Unknown,"TALE,bHLH",2,1.033,Strong up,,,9,10
Zm00001eb023350,chr1,92292812,2.1033119242741045,-2.1033119242741045,XP_014660002.1 transcription factor UNE10 isoform X2 [Setaria italica],Transcription factor,Unknown,Transcription Factor,Transcription Factor,"ERF,MYB,Trihelix,WRKY",4,-0.902,Stable,,,7,11
Zm00001eb024120,chr1,97701896,2.302558477026654,2.302558477026654,XP_002464905.1 trithorax group protein osa [Sorghum bicolor],nan,Unknown,Unknown,Unknown,LBD,1,0.403,Stable,,,5,14
Zm00001eb025400,chr1,108502297,2.50297585963056,-2.50297585963056,XP_002467419.1 protein NRT1/ PTR FAMILY 8.3 isoform X1 [Sorghum bicolor],POT family,Unknown,Unknown,Unknown,ERF,1,0.674,Stable,,,6,10
Zm00001eb026550,chr1,122210678,4.060818333122903,-4.060818333122903,XP_021318306.1 leucine-rich repeat receptor-like protein kinase PEPR2 [Sorghum bicolor],Leucine rich repeat,Unknown,Receptor/Sensor,Receptor/Sensor|Signal Transduction|Metabolism,"ARR-B,EIL,G2-like,MYB_related",4,0.318,Stable,,,14,4
Zm00001eb026930,chr1,126913502,2.116487974353716,2.116487974353716,nan,nan,Unknown,Unknown,Unknown,TCP,1,-0.341,Stable,,,11,7
Zm00001eb030710,chr1,170618556,3.170737524891494,3.170737524891494,XP_002443475.1 SPX and EXS domain-containing protein 1 [Sorghum bicolor],EXS family,Unknown,Signal Transduction,Signal Transduction,"CPP,MYB",2,0.9,Stable,,,9,4
Zm00001eb031670,chr1,177309045,2.7747387468313107,-2.7747387468313107,XP_002443548.1 homeobox-leucine zipper protein HOX33 [Sorghum bicolor],MEKHLA domain,Unknown,Transcription Factor,Transcription Factor,"G2-like,HSF",2,-0.506,Stable,,,6,7
Zm00001eb032230,chr1,180161163,1.7113240355174346,1.7113240355174346,"XP_021302372.1 cationic amino acid transporter 2, vacuolar-like isoform X2 [Sorghum bicolor]",C-terminus of AA_permease,Unknown,Membrane/Transport,Membrane/Transport,"G2-like,MYB,Nin-like,WRKY",4,0.35,Stable,,"ko05206,map05206",5,13
Zm00001eb032890,chr1,183958880,2.1225593337323754,2.1225593337323754,XP_002442604.2 uncharacterized protein LOC8065244 [Sorghum bicolor],nan,Unknown,Unknown,Unknown,"C2H2,ERF,LBD,MYB,TALE",5,-0.929,Stable,,,4,13
Zm00001eb033050,chr1,184439096,3.3385292973275944,3.3385292973275944,XP_002443660.1 LRR receptor-like serine/threonine-protein kinase FEI 1 [Sorghum bicolor],Belongs to the protein kinase superfamily. Ser Thr protein kinase family,Unknown,Receptor/Sensor,Receptor/Sensor|Signal Transduction|Transcription Factor|Metabolism,"EIL,Trihelix",2,-1.615,Strong down,,,7,12
Zm00001eb033220,chr1,184907626,2.4420295470223596,-2.4420295470223596,nan,nan,Unknown,Unknown,Unknown,"ARF,GATA,MIKC_MADS",3,-0.359,Stable,,,4,15
Zm00001eb034990,chr1,192290364,3.154118781316213,-3.154118781316213,XP_002444772.2 ABC transporter C family member 10 [Sorghum bicolor],ABC transporter C family member,Unknown,Membrane/Transport,Membrane/Transport,"Dof,MIKC_MADS,Trihelix,WRKY",4,1.562,Strong up,,"ko01523,ko01524,ko02010,ko04976,map01523,map01524,map02010,map04976",7,10
Zm00001eb036550,chr1,198167984,3.589115459714462,3.589115459714462,XP_002445820.1 exocyst complex component EXO70B1 [Sorghum bicolor],Exo70 exocyst complex subunit,Unknown,Unknown,Unknown,"G2-like,GRAS,TALE",3,-0.721,Stable,,"ko04910,map04910",5,14
Zm00001eb036910,chr1,199461418,2.11257112829817,2.11257112829817,"XP_021320584.1 glycerophosphodiester phosphodiesterase GDPD1, chloroplastic [Sorghum bicolor]",Glycerophosphoryl diester phosphodiesterase family,Unknown,Unknown,Unknown,"BES1,TALE",2,-0.438,Stable,,"ko00564,map00564",6,12
Zm00001eb037210,chr1,200570121,2.443463835576049,-2.443463835576049,XP_002445776.1 PTI1-like tyrosine-protein kinase 3 [Sorghum bicolor],Belongs to the protein kinase superfamily. Tyr protein kinase family,Unknown,Signal Transduction,Signal Transduction|Transcription Factor|Metabolism,ARF,1,0.209,Stable,,"ko04626,map04626",3,13
Zm00001eb038600,chr1,206116074,2.2044341204611366,2.2044341204611366,"XP_002444539.2 bifunctional TH2 protein, mitochondrial [Sorghum bicolor]",TENA/THI-4/PQQC family,Unknown,Unknown,Unknown,"MYB,NAC",2,0.237,Stable,,,6,13
Zm00001eb038640,chr1,206226148,1.6017144404374195,1.6017144404374195,XP_002444541.1 histone-lysine N-methyltransferase family member SUVH9 [Sorghum bicolor],Pre-SET motif,Unknown,Chromatin/Epigenetic,Chromatin/Epigenetic|Metabolism,ERF,1,0.649,Stable,,"ko00310,ko04211,map00310,map04211",12,7
Zm00001eb039610,chr1,209881617,5.018659294750796,5.018659294750796,XP_002445697.1 uncharacterized protein LOC8057823 [Sorghum bicolor],Low molecular weight phosphatase family,Unknown,Signal Transduction,Signal Transduction,"C2H2,GRAS,MIKC_MADS",3,-0.356,Stable,,,13,3
Zm00001eb039620,chr1,210024968,2.8626669109014293,-2.8626669109014293,"XP_021320422.1 cytochrome c1-2, heme protein, mitochondrial [Sorghum bicolor]",Cytochrome C1 family,Unknown,Unknown,Unknown,G2-like,1,0.584,Stable,,"ko00190,ko01100,ko02020,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map02020,map04260,map04714,map04932,map05010,map05012,map05016",7,9
Zm00001eb041750,chr1,219667307,3.2547150798762554,3.2547150798762554,XP_021906003.1 uncharacterized protein LOC110820733 [Carica papaya],Agenet domain,Unknown,Unknown,Unknown,"C2H2,ERF,MYB,Trihelix",4,-0.047,Stable,,,6,8
Zm00001eb041880,chr1,220331322,4.27083902359084,-4.27083902359084,XP_002444371.1 DNA repair protein RAD4 [Sorghum bicolor],Rad4 beta-hairpin domain 3,Unknown,Unknown,Unknown,"ERF,LBD,TALE",3,0.34,Stable,,"ko03420,map03420",6,10
Zm00001eb043310,chr1,228006396,9.946821826323156,9.946821826323156,XP_002466928.1 probable serine incorporator [Sorghum bicolor],Serine incorporator (Serinc),Unknown,Unknown,Unknown,"C2H2,ERF,GRAS,LBD,MIKC_MADS,MYB,MYB_related,TALE,bZIP",9,0.562,Stable,,,12,4
Zm00001eb044910,chr1,234060687,2.1490725006497247,-2.1490725006497247,"XP_021307649.1 protein TIC110, chloroplastic [Sorghum bicolor]",Chloroplast envelope transporter,Unknown,Membrane/Transport,Membrane/Transport,NONE,1,0.274,Stable,,,8,10
Zm00001eb044970,chr1,234172152,2.283194705250409,2.283194705250409,XP_004982769.1 NDR1/HIN1-like protein 6 [Setaria italica],Late embryogenesis abundant protein,Unknown,Unknown,Unknown,"CPP,Trihelix",2,1.519,Strong up,,,7,10
Zm00001eb046750,chr1,241110893,2.221385354874377,-2.221385354874377,XP_002464532.1 ras-related protein RABC2a [Sorghum bicolor],Ras family,Unknown,Unknown,Unknown,"C2H2,CAMTA",2,1.153,Strong up,,,5,14
Zm00001eb046960,chr1,241539557,1.4931449668293355,1.4931449668293355,XP_021306519.1 putative transporter arsB [Sorghum bicolor],Citrate transporter,Unknown,Membrane/Transport,Membrane/Transport,"C2H2,SBP,Trihelix",3,-0.451,Stable,,,15,4
Zm00001eb047770,chr1,245361730,7.1755794559533985,-7.1755794559533985,"XP_021307089.1 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4-like [Sorghum bicolor]",Catalyzes the formation of formate and 2-keto-4- methylthiobutyrate (KMTB) from ,Unknown,Unknown,Unknown,"C2H2,GATA,HSF,MIKC_MADS,MYB",5,-0.08,Stable,,"ko00270,ko01100,map00270,map01100",9,9
Zm00001eb048390,chr1,248596857,5.293251429718321,5.293251429718321,"XP_002464639.1 ATP-dependent 6-phosphofructokinase 5, chloroplastic [Sorghum bicolor]","Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosp",Unknown,Signal Transduction,Signal Transduction|Metabolism,"CAMTA,Nin-like,Trihelix",3,0.269,Stable,,"ko00010,ko00030,ko00051,ko00052,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04152,ko05230,map00010,map00030,map00051,map00052,map00680,map01100,map01110,map01120,map01130,map0120",6,8
Zm00001eb048710,chr1,250455723,3.3080792392493015,-3.3080792392493015,nan,nan,Unknown,Unknown,Unknown,MYB,1,-1.306,Strong down,,,5,12
Zm00001eb049880,chr1,254679914,2.0255071593635225,-2.0255071593635225,XP_021314676.1 scarecrow-like protein 34 [Sorghum bicolor],Belongs to the GRAS family,Unknown,Unknown,Unknown,Dof,1,0.166,Stable,,,4,9
Zm00001eb049920,chr1,254745792,1.4840239648110298,-1.4840239648110298,XP_004982471.1 uncharacterized protein LOC101773080 isoform X1 [Setaria italica],Universal stress protein family,Unknown,Unknown,Unknown,"ARR-B,C2H2,ERF,G2-like,GATA,GRAS,MYB_related,NAC",8,0.869,Stable,,,6,12
Zm00001eb050350,chr1,256721763,2.967144294346598,-2.967144294346598,XP_004982316.1 DNA-directed RNA polymerase II subunit RPB2 [Setaria italica],DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using t,Unknown,Unknown,Unknown,"LBD,TALE",2,0.728,Stable,,"ko00230,ko00240,ko01100,ko03020,ko05016,ko05169,map00230,map00240,map01100,map03020,map05016,map05169",5,13
Zm00001eb052110,chr1,263870101,2.124106917694363,-2.124106917694363,nan,nan,Unknown,Unknown,Unknown,TCP,1,-0.884,Stable,,,6,10
Zm00001eb055010,chr1,274494877,2.350013218095232,-2.350013218095232,XP_002466575.1 pentatricopeptide repeat-containing protein At4g01570 [Sorghum bicolor],PPR repeat,Unknown,Signal Transduction,Signal Transduction,NONE,1,0.75,Stable,,,6,10
Zm00001eb055170,chr1,275076946,3.0545487766710915,-3.0545487766710915,"XP_002463993.2 probable phosphoribosylformylglycinamidine synthase, chloroplastic/mitochondrial [Sorghum bicolor]",CobB/CobQ-like glutamine amidotransferase domain,Unknown,Metabolism,Metabolism,MYB,1,0.24,Stable,,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",6,12
Zm00001eb055620,chr1,276650852,3.0840355488625844,3.0840355488625844,XP_021320574.1 SWI/SNF complex subunit SWI3D isoform X1 [Sorghum bicolor],SWIRM-associated region 1,Unknown,Chromatin/Epigenetic,Chromatin/Epigenetic,"HD-ZIP,MYB,MYB_related,Trihelix",4,0.518,Stable,,"ko04714,ko05225,map04714,map05225",9,8
Zm00001eb056030,chr1,278826136,2.1339360185778684,2.1339360185778684,XP_002463941.1 prostamide/prostaglandin F synthase [Sorghum bicolor],AhpC/TSA antioxidant enzyme,Unknown,Metabolism,Metabolism,"G2-like,M-type_MADS,MIKC_MADS",3,0.103,Stable,,,8,5
Zm00001eb057160,chr1,282764868,1.9297323311764496,-1.9297323311764496,XP_002466462.1 PHD finger protein ING2 [Sorghum bicolor],Inhibitor of growth proteins N-terminal histone-binding,Unknown,Chromatin/Epigenetic,Chromatin/Epigenetic,"C2H2,MYB,TALE",3,0.672,Stable,,,11,8
Zm00001eb059970,chr1,292328009,3.75243387349988,3.75243387349988,XP_002463775.1 CCR4-NOT transcription complex subunit 3 [Sorghum bicolor],zinc finger,Unknown,Transcription Factor,Transcription Factor,TALE,1,-1.187,Strong down,,,16,3
Zm00001eb060330,chr1,293484526,1.7107850348014724,1.7107850348014724,XP_004981481.1 replication factor C subunit 5 [Setaria italica],Rad17 cell cycle checkpoint protein,Unknown,Unknown,Unknown,"ARF,MYB",2,0.621,Stable,,"ko03030,ko03420,ko03430,map03030,map03420,map03430",7,6
Zm00001eb060410,chr1,293674250,2.382455404355214,2.382455404355214,XP_002466320.1 25.3 kDa vesicle transport protein [Sorghum bicolor],Belongs to the synaptobrevin family,Unknown,Unknown,Unknown,"C2H2,MYB,TALE,WRKY",4,0.645,Stable,,"ko04130,ko04145,ko05134,map04130,map04145,map05134",4,13
Zm00001eb060730,chr1,294630742,3.766490117317838,3.766490117317838,XP_002463741.1 60S ribosomal protein L4-1 [Sorghum bicolor],60S ribosomal protein,Unknown,Translation,Translation,Trihelix,1,1.047,Strong up,,"ko03010,map03010",12,5
Zm00001eb061370,chr1,296607704,2.515980070847814,2.515980070847814,XP_052150214.1 protein NO VEIN [Oryza glaberrima],nan,Unknown,Unknown,Unknown,MYB_related,1,0.307,Stable,,,6,10
Zm00001eb061520,chr1,297171952,1.69168016277512,-1.69168016277512,XP_015691198.1 elongation factor P isoform X1 [Oryza brachyantha],Elongation factor P (EF-P) OB domain,Unknown,Translation,Translation,"ERF,Nin-like",2,1.868,Strong up,,,7,11
Zm00001eb061760,chr1,297567154,2.2616050530421106,-2.2616050530421106,XP_002466244.1 40S ribosomal protein S2-3 [Sorghum bicolor],Belongs to the universal ribosomal protein uS5 family,Unknown,Translation,Translation,TALE,1,0.635,Stable,,"ko03010,map03010",10,7
Zm00001eb061820,chr1,297821539,1.8927238208995572,-1.8927238208995572,XP_006651938.2 remorin 4.1-like [Oryza brachyantha],"Remorin, C-terminal region",Unknown,Unknown,Unknown,NAC,1,0.696,Stable,,,7,12
Zm00001eb061860,chr1,297954395,1.9645315002438188,1.9645315002438188,XP_002466239.1 calcium-dependent protein kinase 8 [Sorghum bicolor],Calcium-dependent protein kinase,Unknown,Signal Transduction,Signal Transduction|Second Messenger|Metabolism,"CPP,HD-ZIP,MYB",3,0.186,Stable,,"ko04626,ko05145,map04626,map05145",10,9
Zm00001eb061940,chr1,298119374,2.011460116416276,2.011460116416276,XP_002466235.1 TLC domain-containing protein At5g14285 [Sorghum bicolor],TLC domain,Unknown,Signal Transduction,Signal Transduction,"C2H2,MYB",2,0.158,Stable,,,11,8
Zm00001eb062220,chr1,299161158,1.556245220513922,-1.556245220513922,XP_002463653.1 U-box domain-containing protein 62 isoform X1 [Sorghum bicolor],U-box domain-containing protein,Unknown,Signal Transduction,Signal Transduction,MYB_related,1,0.263,Stable,,,8,8
Zm00001eb063300,chr1,302187930,1.6836412220269683,1.6836412220269683,"XP_021319783.1 DEAD-box ATP-dependent RNA helicase 3, chloroplastic [Sorghum bicolor]",Nuclear genome-encoded factor involved in ribosome biogenesis in chloroplasts. B,Unknown,Translation,Translation,"CAMTA,bHLH,bZIP",3,0.095,Stable,,"ko01110,map01110",6,10
Zm00001eb065000,chr1,306610697,3.849499542569564,-3.849499542569564,XP_002466062.1 probable carbohydrate esterase At4g34215 [Sorghum bicolor],"Carbohydrate esterase, sialic acid-specific acetylesterase",Unknown,Unknown,Unknown,LBD,1,-2.893,Strong down,,,7,11
Zm00001eb068910,chr2,6413681,2.9487015875250875,2.9487015875250875,XP_002448622.1 binding partner of ACD11 1 [Sorghum bicolor],RNA recognition motif,Unknown,Unknown,Unknown,"NAC,TCP,bZIP",3,-0.423,Stable,,,3,13
Zm00001eb071290,chr2,11570568,2.1910098163731746,2.1910098163731746,XP_021318518.1 uncharacterized protein LOC8072313 isoform X1 [Sorghum bicolor],YT521-B-like domain,Unknown,Unknown,Unknown,NONE,1,-0.738,Stable,,,6,13
Zm00001eb071360,chr2,11669559,2.2096785542951864,2.2096785542951864,XP_002448493.1 galacturonokinase [Sorghum bicolor],Galactokinase galactose-binding signature,Unknown,Signal Transduction,Signal Transduction|Metabolism,Dof,1,-0.376,Stable,,"ko00520,map00520",11,5
Zm00001eb072790,chr2,15238401,2.599665427912612,2.599665427912612,XP_002446995.1 uncharacterized protein LOC8057699 [Sorghum bicolor],Alpha and gamma adaptin binding protein p34,Unknown,Signal Transduction,Signal Transduction,NONE,1,0.886,Stable,,,3,14
Zm00001eb073810,chr2,18375896,2.74040437964149,2.74040437964149,XP_002448347.2 protein argonaute 1B isoform X2 [Sorghum bicolor],Belongs to the argonaute family,Unknown,Unknown,Unknown,"ARF,Dof",2,-1.571,Strong down,,,3,16
Zm00001eb082480,chr2,50978303,2.112619935604266,-2.112619935604266,XP_004975664.1 vasodilator-stimulated phosphoprotein-like [Setaria italica],nan,Unknown,Unknown,Unknown,"CAMTA,TALE,bHLH",3,-1.251,Strong down,,,6,8
Zm00001eb084920,chr2,66222254,2.3696942297445207,-2.3696942297445207,XP_004953540.1 60S ribosomal protein L12-1 [Setaria italica],Belongs to the universal ribosomal protein uL11 family,Unknown,Translation,Translation,"C2H2,CAMTA,CPP,M-type_MADS,MYB",5,0.679,Stable,,"ko03010,map03010",8,9
Zm00001eb086540,chr2,84666680,5.451041171360822,5.451041171360822,XP_021318420.1 lactoylglutathione lyase [Sorghum bicolor],"Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutath",Unknown,Redox/Stress,Redox/Stress,"CPP,Dof,MYB,Trihelix,WRKY",5,0.088,Stable,,"ko00620,map00620",7,8
