chr,pos,gene_id,abs_d,peak_width_smallest,peak_width_median,n_hybrids_with_peak,total_motifs_in_peak,n_families_in_peak,motifs_at_variant,n_fam_at_variant,min_redundancy_in_peak
chr2,229264642,Zm00001eb113090,3.226892876942958,185,288.0,25,77,19,16,8,1
chr2,231733039,Zm00001eb113950,2.4276087436468217,126,169.5,22,37,16,13,7,1
chr2,231974874,Zm00001eb114030,2.9034353041982452,92,161.0,12,47,20,33,14,1
chr2,240761302,Zm00001eb117470,1.933356301671669,222,353.0,25,116,21,13,6,1
chr2,241868493,Zm00001eb117970,2.2725010919480866,301,374.0,25,138,24,6,4,4
chr3,1394090,Zm00001eb118790,2.2539416957231064,172,191.0,25,75,19,31,11,1
chr3,2105164,Zm00001eb119270,2.135287702759879,164,415.5,16,87,14,28,9,1
chr3,4403930,Zm00001eb120360,3.413018641119319,131,189.0,25,89,12,2,2,2
chr3,5797323,Zm00001eb121000,1.5710459829429757,90,128.0,18,61,11,3,3,1
chr3,8139290,Zm00001eb121590,1.744482690570362,351,407.0,23,153,24,25,8,1
chr3,8816775,Zm00001eb121890,2.2326596187640484,97,131.0,18,55,14,26,6,1
chr3,8920662,Zm00001eb122000,2.492254597951363,100,224.0,3,26,13,3,2,2
chr3,9277928,Zm00001eb122170,1.6246188408538758,136,288.0,25,103,15,6,5,1
chr3,9385012,Zm00001eb122200,1.8618692704715207,260,598.0,25,74,19,17,7,1
chr3,10164283,Zm00001eb122460,1.6020125619309538,119,343.0,23,85,15,7,4,1
chr3,12504511,Zm00001eb122970,2.7552397663550363,88,244.0,25,15,9,7,5,1
chr3,13885162,Zm00001eb123370,5.053987026020242,309,372.0,25,146,21,12,8,1
chr3,16582531,Zm00001eb124070,3.3949988028314917,381,513.0,24,150,23,5,4,3
chr3,19793856,Zm00001eb124780,6.626307350143475,129,322.0,25,44,13,13,7,1
chr3,23440020,Zm00001eb125470,2.5685126941439624,65,118.0,17,36,8,25,8,1
chr3,24544548,Zm00001eb125670,2.153081217691684,64,126.0,18,23,12,8,7,1
chr3,28739489,Zm00001eb126330,2.5423300346672986,321,397.0,25,66,18,6,4,1
chr3,30093262,Zm00001eb126650,2.613780193933824,120,215.5,16,65,18,19,8,1
chr3,37290665,Zm00001eb127860,1.6422511574694476,484,880.0,25,190,26,18,6,2
chr3,48267116,Zm00001eb129370,1.9990235414204056,432,436.5,2,197,25,19,3,16
chr3,49482162,Zm00001eb129580,3.570384747350408,109,218.0,22,30,11,13,4,1
chr3,68382243,Zm00001eb131690,2.46461909420489,194,295.5,24,92,21,19,11,1
chr3,70286034,Zm00001eb131860,2.648928550238483,152,366.0,25,49,18,13,9,1
chr3,107858865,Zm00001eb134200,4.492995826850416,770,1126.5,24,324,32,20,6,2
chr3,120935326,Zm00001eb135710,4.5840249634856125,87,242.0,16,30,15,10,4,1
chr3,127174606,Zm00001eb136350,2.18591599474495,599,725.0,21,230,29,13,8,4
chr3,133837428,Zm00001eb137500,2.4802241689362075,150,570.0,23,42,15,16,8,1
chr3,137811367,Zm00001eb138290,2.2529353490446553,581,650.0,25,291,27,16,8,1
chr3,137930351,Zm00001eb138300,2.1895306784654274,85,221.0,22,27,7,5,1,5
chr3,144023725,Zm00001eb139410,2.698116925762295,512,678.0,25,341,28,6,5,3
chr3,144772101,Zm00001eb139520,2.142356257271965,201,327.0,25,93,21,25,7,2
chr3,145520648,Zm00001eb139660,3.9622906001192386,111,472.0,25,80,16,51,5,4
chr3,147103568,Zm00001eb139920,3.0395723230038407,407,698.0,25,278,27,21,9,2
chr3,148503239,Zm00001eb140330,2.4660033014890264,66,120.0,3,17,9,5,4,1
chr3,148810719,Zm00001eb140420,3.089985574795782,97,174.0,22,22,10,11,6,1
chr3,150304881,Zm00001eb140720,3.1652220350904807,297,680.0,25,135,24,34,6,1
chr3,160577721,Zm00001eb142940,1.996247966587519,59,227.0,17,10,3,10,3,3
chr3,161861731,Zm00001eb143140,4.868431744459166,59,362.0,25,7,4,5,4,1
chr3,163555665,Zm00001eb143370,5.44944864441484,63,181.0,9,16,10,12,8,1
chr3,163930045,Zm00001eb143460,2.8587039833583954,449,525.5,22,275,24,25,7,3
chr3,170915078,Zm00001eb144360,3.0999196988574975,274,335.5,24,155,23,16,8,1
chr3,171120618,Zm00001eb144450,2.5403550348152293,59,59.0,1,55,9,52,9,1
chr3,172182737,Zm00001eb144650,2.719783098047161,145,389.0,25,140,21,38,6,1
chr3,172976940,Zm00001eb144840,1.6177074130778542,148,161.0,3,38,13,20,7,2
chr3,173688086,Zm00001eb145100,1.5930707008182463,183,277.0,25,80,19,29,11,1
chr3,183850314,Zm00001eb147750,1.3081921082906085,477,778.0,25,173,28,8,7,4
chr3,185093979,Zm00001eb148130,2.0891111623814975,63,213.0,6,12,11,10,10,1
chr3,186809419,Zm00001eb148640,2.2057095350318794,74,406.5,16,19,7,15,5,1
chr3,187164382,Zm00001eb148780,1.530576759378904,135,323.0,24,95,18,19,3,2
chr3,190837124,Zm00001eb149700,2.016873673081728,82,97.5,6,20,8,6,4,1
chr3,191468075,Zm00001eb149900,1.7551391449030909,91,531.0,17,32,13,21,9,1
chr3,192787595,Zm00001eb150550,0.99628196713376,68,127.0,3,41,10,6,2,2
chr3,194401490,Zm00001eb150960,6.626846311236884,214,269.0,16,65,25,2,2,1
chr3,199104117,Zm00001eb152080,2.7188418479420946,292,433.5,22,114,20,15,7,1
chr3,203944342,Zm00001eb153500,4.407908919107358,118,176.0,21,37,14,10,8,1
chr3,205007922,Zm00001eb153830,1.9320962088902591,158,158.0,1,49,13,9,3,1
chr3,209926939,Zm00001eb155350,1.861742683775256,302,413.0,23,181,24,21,10,1
chr3,213069872,Zm00001eb156460,2.599210689514044,259,417.0,25,118,22,18,6,2
chr3,213192022,Zm00001eb156500,14.427226648287652,164,404.0,25,65,16,15,4,3
chr3,214206618,Zm00001eb156710,4.168348144184937,295,551.0,25,130,22,30,10,2
chr3,217637108,Zm00001eb157820,2.7854375855586,118,178.0,17,31,16,7,5,1
chr3,219845503,Zm00001eb158370,0.7908584744590792,136,136.0,1,74,14,8,3,1
chr3,220152206,Zm00001eb158500,2.063671916088679,127,254.0,19,32,10,14,5,2
chr3,221941447,Zm00001eb159080,1.996860070827555,376,528.0,25,149,24,20,11,1
chr3,231271693,Zm00001eb162130,1.9819117322033593,127,184.0,23,105,17,14,6,1
chr3,233212650,Zm00001eb162710,2.2204319656711395,236,378.0,25,111,24,19,15,1
chr3,234870111,Zm00001eb163100,2.4322249176079063,147,278.0,25,47,15,9,6,1
chr3,235166050,Zm00001eb163210,4.823322684804878,265,334.0,25,87,20,8,6,1
chr3,235713991,Zm00001eb163480,2.23081181371385,304,394.0,2,187,23,10,3,6
chr3,236259214,Zm00001eb163710,2.4384996737793427,152,211.5,4,51,12,5,3,3
chr3,236418050,Zm00001eb163800,2.9349588111317213,260,393.0,25,120,20,27,8,2
chr4,2047841,Zm00001eb164790,2.315942755895786,693,818.0,11,298,29,2,2,1
chr4,18974773,Zm00001eb169350,3.932742361674885,278,456.5,20,116,23,38,10,1
chr4,22255547,Zm00001eb169970,5.027131847221161,76,146.0,6,15,8,4,3,1
chr4,22444656,Zm00001eb169990,6.817995601954361,260,355.0,19,111,22,18,3,2
chr4,28342592,Zm00001eb171030,1.972462297927824,158,158.0,1,51,19,22,9,1
chr4,32604294,Zm00001eb172070,2.462041241439892,114,283.0,25,39,16,8,7,1
chr4,34451809,Zm00001eb172450,1.918596607040125,355,413.0,11,94,20,9,5,1
chr4,35993232,Zm00001eb172780,3.0310799984111823,118,433.5,16,39,13,15,7,2
chr4,37192386,Zm00001eb172970,1.6631135426244656,124,225.0,24,49,14,11,7,1
chr4,39120195,Zm00001eb173500,1.6807045361079327,505,580.0,25,161,29,4,3,7
chr4,44170160,Zm00001eb174710,1.9109180498632172,493,584.5,14,193,28,9,7,2
chr4,47116254,Zm00001eb175230,2.288702790845905,61,97.0,5,22,11,12,5,1
chr4,59440786,Zm00001eb176590,1.3981270049641512,162,273.0,25,64,12,10,7,1
chr4,70420623,Zm00001eb177830,2.4362561512401566,61,81.0,21,44,13,40,12,1
chr4,74114150,Zm00001eb178280,2.5964933611315097,151,240.0,17,69,15,7,4,1
chr4,83096032,Zm00001eb179290,2.5907585948602705,419,490.0,25,132,24,5,3,4
chr4,86785717,Zm00001eb179750,3.631219078067788,160,265.0,2,103,17,9,5,3
chr4,123536641,Zm00001eb182260,3.4683844000086848,147,440.0,24,92,11,24,7,1
chr4,147044205,Zm00001eb185040,1.9027022709126704,195,301.0,25,78,21,6,3,2
chr4,154507836,Zm00001eb186120,3.2353168813696147,199,374.0,25,123,19,24,8,2
chr4,158778172,Zm00001eb186820,3.173569977080558,118,197.0,25,7,7,3,3,1
chr4,162371023,Zm00001eb187670,2.378608311491472,110,209.0,3,51,17,7,5,1
chr4,162955738,Zm00001eb187800,2.2977816876713417,78,109.0,5,23,10,13,8,1
chr4,166534010,Zm00001eb188700,5.421301104322435,334,409.5,24,120,25,30,11,2
chr4,176530292,Zm00001eb191380,1.4725591162438447,225,304.5,22,75,19,25,6,2
chr4,178453918,Zm00001eb192150,1.899920669382254,103,139.0,2,31,16,7,6,1
chr4,183560529,Zm00001eb193640,3.1278602552196215,409,461.5,4,176,23,4,3,8
chr4,188805546,Zm00001eb195000,1.6814761433417835,151,209.0,25,78,20,6,3,2
chr4,192353067,Zm00001eb196380,1.8320463985670763,159,693.0,22,53,18,22,10,1
chr4,193101732,Zm00001eb196600,2.8674926792782833,445,481.0,12,189,27,21,10,4
chr4,198955435,Zm00001eb198110,2.308612467412072,81,193.0,25,23,6,2,2,1
chr4,198983254,Zm00001eb198120,1.490005611164971,120,202.0,13,23,11,7,6,1
chr4,205877979,Zm00001eb199940,4.098814330310352,85,348.5,2,25,11,12,3,1
chr4,207015716,Zm00001eb200140,2.354079152205055,58,104.0,22,10,7,5,3,1
chr4,207892864,Zm00001eb200440,3.5257089141939946,280,326.0,25,103,19,6,5,1
chr4,208625246,Zm00001eb200590,3.1115924936727684,101,204.0,23,21,10,3,3,1
chr4,212104110,Zm00001eb201090,6.454553502625511,334,723.0,25,162,25,23,12,1
chr4,212273966,Zm00001eb201100,5.598555575237356,134,217.0,5,30,14,18,9,1
chr4,218320182,Zm00001eb202020,3.776223951223463,204,267.0,25,112,21,7,5,1
chr4,218406423,Zm00001eb202030,2.616696406649417,100,139.5,4,28,12,15,6,1
chr4,226807901,Zm00001eb203240,3.341135025387979,132,132.0,1,43,15,14,4,1
chr4,231395241,Zm00001eb204030,3.776154804882046,221,224.0,2,70,22,6,3,3
chr4,243744385,Zm00001eb206750,2.952833078683929,412,543.0,24,185,28,20,5,1
chr4,243828411,Zm00001eb206800,1.5748227706490667,153,668.5,24,51,15,17,7,1
chr4,245967276,Zm00001eb207920,2.435194616190339,300,471.0,25,124,17,47,5,5
chr4,246974498,Zm00001eb208430,1.9865494578769367,86,270.0,24,21,11,20,11,1
chr4,247481976,Zm00001eb208710,1.9439999256388856,176,311.5,20,58,17,12,7,2
chr4,248497085,Zm00001eb209380,1.8078821906883915,160,160.0,1,45,19,5,4,1
chr5,2582951,Zm00001eb211620,2.0878067972527448,69,99.0,25,27,8,24,8,1
chr5,2679905,Zm00001eb211740,2.0055852743209135,702,927.0,19,338,29,21,8,2
chr5,2722689,Zm00001eb211780,1.4740766603580426,285,357.0,24,75,19,9,6,1
chr5,3799865,Zm00001eb212520,1.0581936876932885,117,303.0,7,36,17,10,5,1
chr5,3929566,Zm00001eb212610,2.5476844419306603,117,529.5,18,36,15,19,12,1
chr5,4304943,Zm00001eb212810,4.4476800731906225,132,274.0,24,48,11,12,7,1
chr5,4539678,Zm00001eb212940,4.0980270622678345,678,1013.0,6,324,28,14,5,21
chr5,6342999,Zm00001eb214080,2.2064550188307166,174,817.0,21,36,14,6,4,1
chr5,9017699,Zm00001eb215480,2.0849681970533394,125,138.0,2,24,14,9,6,1
chr5,9899872,Zm00001eb215680,3.256816592667565,211,976.0,23,137,20,27,12,1
chr5,10003009,Zm00001eb215710,2.539472552732426,561,706.0,25,268,28,44,7,4
chr5,10159988,Zm00001eb215780,1.63281724559116,292,356.5,2,89,22,29,10,1
chr5,10575019,Zm00001eb216000,2.796844178065814,279,449.0,25,146,22,38,6,1
chr5,13128960,Zm00001eb217010,3.167194025229343,225,312.0,13,74,17,8,6,2
chr5,14254464,Zm00001eb217390,3.960275009599692,86,123.0,6,21,10,8,3,1
chr5,14614921,Zm00001eb217560,1.8976472087481904,438,462.0,5,170,22,12,3,3
chr5,19107568,Zm00001eb219040,2.410048121163423,234,294.0,25,69,18,12,6,2
chr5,19510487,Zm00001eb219210,2.188119226814984,245,432.0,23,134,22,25,9,3
chr5,21032251,Zm00001eb219710,1.848124679262618,138,303.0,25,27,12,9,3,1
chr5,32352203,Zm00001eb222310,2.874238956905657,125,221.0,7,33,15,9,7,1
chr5,51768174,Zm00001eb225790,4.0288094026258445,189,436.0,25,65,15,8,6,1
chr5,58804250,Zm00001eb227020,1.887218699133968,81,153.5,14,19,10,11,5,1
chr5,59946133,Zm00001eb227200,2.305646447426234,273,867.0,20,79,15,13,5,1
chr5,60016925,Zm00001eb227240,2.614639658175785,233,261.5,24,60,14,7,5,2
chr5,60347328,Zm00001eb227310,3.539510209205446,111,111.0,1,37,14,6,4,2
chr5,60404792,Zm00001eb227330,1.6322288517979,110,167.5,12,34,13,22,8,1
chr5,60874715,Zm00001eb227400,2.8731706347228676,521,714.0,25,199,28,15,7,2
chr5,61446348,Zm00001eb227670,5.5371808019707265,59,118.5,22,33,8,30,8,1
chr5,63257241,Zm00001eb228090,2.5466650592937663,142,235.0,11,35,15,5,3,2
chr5,63491996,Zm00001eb228160,2.0854684599772058,63,236.0,13,32,6,30,4,1
chr5,84480191,Zm00001eb232710,1.8662184300906264,130,224.0,17,34,15,8,8,1
chr5,91349547,Zm00001eb233730,3.4568081099510115,341,341.0,1,116,19,33,8,1
chr5,100436856,Zm00001eb234620,3.4991405375220848,104,161.0,6,29,9,13,7,1
chr5,138337529,Zm00001eb237500,3.7666607845588014,242,357.0,25,90,22,13,8,1
chr5,147071399,Zm00001eb238620,2.101410767301607,287,293.0,6,128,24,3,3,1
chr5,147580358,Zm00001eb238670,2.4797842854311596,155,175.0,2,61,19,4,2,1
chr5,159177486,Zm00001eb240160,3.150560673239874,502,868.0,25,234,30,22,11,2
chr5,162417985,Zm00001eb240750,2.0331125781654853,256,301.0,22,106,26,19,7,1
chr5,165941716,Zm00001eb241400,2.227398896228534,258,380.0,25,127,25,23,4,3
chr5,167200610,Zm00001eb241780,2.649178803799349,188,301.0,5,85,16,45,10,1
chr5,177500754,Zm00001eb243970,2.201691679038871,64,230.5,24,21,4,19,4,1
chr5,179748634,Zm00001eb244930,4.753694942534736,264,402.0,25,155,23,9,6,1
chr5,181666853,Zm00001eb245410,3.7983113281608527,108,593.0,6,26,9,8,5,1
chr5,183345807,Zm00001eb245840,3.1519521318875774,157,223.0,21,49,20,5,3,1
chr5,185128518,Zm00001eb246360,1.7253885350789702,128,128.0,1,48,18,19,7,1
chr5,185610092,Zm00001eb246440,2.855413475989271,210,322.0,23,109,22,20,5,3
chr5,185969286,Zm00001eb246590,3.533033625402345,360,432.0,11,189,20,8,4,5
chr5,187363173,Zm00001eb246850,2.116124084261831,272,272.0,1,107,20,16,2,13
chr5,190042182,Zm00001eb247540,2.689918027031855,116,408.0,22,17,11,10,7,1
chr5,192527539,Zm00001eb248290,3.045578705346374,403,412.0,6,159,25,23,7,2
chr5,192696772,Zm00001eb248350,1.8501334723944156,133,245.0,25,52,20,9,5,2
chr5,192898521,Zm00001eb248530,2.0869914285378406,60,162.0,25,8,5,4,4,1
chr5,193107259,Zm00001eb248620,3.566530348832343,60,202.0,24,36,5,15,3,6
chr5,199009303,Zm00001eb250370,1.8339465166225088,372,415.5,12,158,25,12,6,2
chr5,204023118,Zm00001eb250610,1.5294181024110318,90,219.0,11,35,13,29,12,1
chr5,205962090,Zm00001eb251070,1.8363397923573328,159,513.0,22,73,16,17,8,1
chr5,208499872,Zm00001eb251900,2.0480367921719203,64,210.0,21,17,9,13,7,1
chr5,209205811,Zm00001eb252160,2.355996357405278,273,293.0,22,128,25,14,8,1
chr5,209563666,Zm00001eb252250,3.1936707580998416,364,523.0,11,185,27,31,6,2
chr5,209976915,Zm00001eb252380,1.331292388796791,88,196.5,2,27,9,16,5,1
chr5,210135106,Zm00001eb252460,2.800267841073044,418,566.0,25,185,26,28,7,3
chr5,210672360,Zm00001eb252640,2.184338854040075,58,100.0,5,22,7,22,7,1
chr5,212216401,Zm00001eb253150,1.66884832394174,240,698.0,21,90,20,9,9,1
chr5,213145580,Zm00001eb253690,2.9414167343446964,77,434.0,23,26,9,17,6,1
chr5,216053809,Zm00001eb254940,3.0368323958172567,334,860.0,15,127,27,10,3,2
chr5,218429727,Zm00001eb255980,2.8306111394814533,73,401.0,25,38,9,28,7,1
chr5,219599710,Zm00001eb256460,2.535602526846472,125,209.5,8,39,15,21,7,1
chr5,222003901,Zm00001eb257810,3.7401838527052793,67,98.0,17,33,7,11,1,11
chr5,222551203,Zm00001eb258090,1.8890916082673856,99,161.0,7,38,14,10,9,1
chr5,222744777,Zm00001eb258170,4.794391153447574,175,367.0,25,38,13,8,4,2
chr5,224090715,Zm00001eb258890,1.9603346592901425,496,597.0,25,377,26,16,9,2
chr5,224227778,Zm00001eb258970,1.890023995138449,64,126.0,20,2,2,1,1,1
chr5,224374169,Zm00001eb259070,1.9507576650897027,113,219.0,15,45,13,11,6,1
chr6,7501354,Zm00001eb260350,2.401949872078158,190,386.0,25,74,24,15,10,1
chr6,8188344,Zm00001eb260480,3.5478175791548217,149,186.5,4,39,14,3,2,2
chr6,10181290,Zm00001eb260970,1.9402762306550076,118,162.5,6,44,17,24,10,1
chr6,29131841,Zm00001eb264550,2.565167807096685,183,294.0,25,80,20,21,9,1
chr6,36004831,Zm00001eb265520,1.7809825153208412,174,304.0,25,82,18,32,7,1
chr6,44084585,Zm00001eb266600,1.3833691488817503,142,196.0,25,76,21,44,15,1
chr6,44126781,Zm00001eb266620,2.9601877835961656,61,131.0,25,20,8,17,6,1
chr6,64425664,Zm00001eb268420,2.5182726232604637,647,696.0,18,318,27,7,4,4
chr6,71846402,Zm00001eb269400,5.37515032156037,211,383.0,25,102,21,33,8,1
chr6,92924064,Zm00001eb272170,3.261713651505997,59,223.0,4,30,11,30,11,1
chr6,94722184,Zm00001eb272520,2.0781202486092107,195,304.0,25,79,18,23,8,1
chr6,98445058,Zm00001eb273360,3.373963504912398,301,395.0,11,125,20,22,6,2
chr6,102898532,Zm00001eb274240,2.18760956779572,184,263.5,2,60,16,5,3,1
chr6,110082271,Zm00001eb276160,2.0697966596880257,191,290.5,24,77,14,14,6,1
chr6,110151986,Zm00001eb276190,2.448600298541365,200,446.0,25,64,18,10,6,1
chr6,117817772,Zm00001eb278120,1.707022122288353,183,269.0,22,98,24,9,7,1
chr6,117850289,Zm00001eb278130,2.9195594793576416,78,153.0,25,34,13,13,8,1
chr6,124409130,Zm00001eb279790,9.795547365688725,72,99.0,5,15,10,3,3,1
chr6,126409344,Zm00001eb280210,1.7960201177908428,241,288.0,3,73,19,16,6,4
chr6,130867559,Zm00001eb280970,3.748817075985064,171,552.0,15,83,22,4,3,1
chr6,134534847,Zm00001eb282040,2.0901105758952907,461,499.0,21,156,26,6,5,2
chr6,138984500,Zm00001eb282990,2.655137442273228,349,417.0,8,186,23,5,2,9
chr6,139381527,Zm00001eb283110,2.856266283830376,81,444.0,25,55,15,30,12,1
chr6,139654163,Zm00001eb283200,2.0579915874978787,139,293.0,25,48,13,3,3,1
chr6,141497453,Zm00001eb283750,3.2282312202661316,170,252.0,25,121,15,50,8,1
chr6,142919744,Zm00001eb284070,2.017722385261348,63,86.0,9,17,10,12,7,1
chr6,143072104,Zm00001eb284120,2.8262855781437546,66,453.0,6,29,10,15,7,2
chr6,144722672,Zm00001eb284450,1.6809466919998697,138,183.0,20,79,13,37,7,1
chr6,144921415,Zm00001eb284520,1.9900310270162969,128,306.0,25,35,12,5,5,1
chr6,152679315,Zm00001eb286540,1.5857986645549182,345,417.0,23,135,25,16,8,1
chr6,158302188,Zm00001eb288150,3.3074906339787136,101,123.5,4,30,11,9,6,1
chr6,159037925,Zm00001eb288420,2.9114444910666863,345,361.0,2,123,23,9,5,2
chr6,162664891,Zm00001eb289600,1.881835007983475,158,173.0,7,67,18,9,4,2
chr6,165528366,Zm00001eb290750,2.687972913495488,102,318.0,25,35,9,9,4,1
chr6,166984831,Zm00001eb291350,2.8153083422748817,67,118.0,25,30,11,14,7,1
chr6,170739704,Zm00001eb293130,3.7275814784711905,193,570.0,23,115,16,24,5,3
chr6,172670934,Zm00001eb294000,2.0012701891866422,81,127.5,24,55,11,11,2,4
chr6,173977731,Zm00001eb294740,1.9243978925261265,84,143.0,25,22,12,8,4,2
chr6,175625843,Zm00001eb295670,3.049368935343808,256,444.0,25,137,19,30,6,1
chr6,175938755,Zm00001eb295800,2.572293252703069,341,574.0,25,130,23,18,7,1
chr7,880702,Zm00001eb298140,2.081148712700112,406,471.0,25,204,26,25,9,1
chr7,1059198,Zm00001eb298180,2.905709175966613,241,366.0,25,101,23,9,7,2
chr7,1401739,Zm00001eb298400,2.4936713485215716,153,253.0,25,44,17,18,8,1
chr7,5273290,Zm00001eb299970,2.493335649869251,240,296.0,13,102,15,12,5,5
chr7,6870529,Zm00001eb300490,2.4773540200623496,274,331.0,25,100,24,13,8,1
chr7,10524518,Zm00001eb301430,1.4359456092472174,170,194.0,11,133,18,70,6,1
chr7,10719162,Zm00001eb301470,1.3331421122645593,368,420.0,25,163,23,12,5,5
chr7,10933578,Zm00001eb301540,5.061909574591178,389,461.0,24,201,26,36,7,1
chr7,13954725,Zm00001eb302270,2.552939442944594,67,111.5,6,37,10,22,5,1
chr7,17959685,Zm00001eb302940,4.686390244607297,193,278.0,25,59,18,17,9,1
chr7,18956238,Zm00001eb303060,1.7875926306467889,171,297.0,25,67,20,26,15,1
chr7,20132866,Zm00001eb303280,2.66532678268429,350,544.0,25,245,24,13,9,3
chr7,21757630,Zm00001eb303620,2.369923834793785,64,453.0,7,35,8,34,8,1
chr7,22297801,Zm00001eb303740,2.5093168700910597,101,279.0,25,33,13,17,8,1
chr7,24551813,Zm00001eb304110,2.6149041861269624,189,265.0,25,81,16,22,6,2
chr7,27378767,Zm00001eb304560,3.8414810666527024,411,427.0,20,249,24,10,7,1
chr7,52719477,Zm00001eb307400,2.282258721460169,88,255.0,16,23,10,9,6,1
chr7,82964676,Zm00001eb308990,1.4127807266210728,91,572.0,24,35,13,16,7,1
chr7,89902299,Zm00001eb309590,1.483412957501383,254,312.0,19,80,19,17,7,3
chr7,104978194,Zm00001eb311230,3.004041531384752,72,341.0,13,42,14,12,3,2
chr7,112626983,Zm00001eb312020,2.776015685879615,222,316.0,21,53,18,10,5,2
chr7,115955090,Zm00001eb312440,1.95379483851799,283,284.0,3,121,26,7,6,4
chr7,121094007,Zm00001eb312990,5.4270744724144935,143,224.0,25,58,16,40,11,1
chr7,123472084,Zm00001eb313460,2.315207457748919,69,471.0,25,14,7,10,5,1
chr7,127366190,Zm00001eb314230,1.7220254620463895,166,276.0,25,85,22,18,7,1
chr7,136373078,Zm00001eb316180,2.0457408494500875,243,411.0,25,69,22,14,5,2
chr7,137154179,Zm00001eb316410,3.622077143871217,193,279.0,22,52,15,2,2,2
chr7,152794976,Zm00001eb320760,2.359105314688309,139,699.0,17,30,11,6,5,1
chr7,152901826,Zm00001eb320800,2.376782648274342,632,746.5,2,296,31,11,10,2
chr7,162221242,Zm00001eb322690,5.814676515804214,225,372.5,14,117,21,16,8,1
chr7,164514551,Zm00001eb323490,2.505228500913015,185,327.0,25,48,18,9,6,1
chr7,164771432,Zm00001eb323570,2.326173244124276,63,75.5,2,9,6,8,5,1
chr7,169218303,Zm00001eb325330,2.856167218397106,69,263.5,12,34,13,6,3,2
chr7,169303840,Zm00001eb325370,2.7983655340285414,222,222.0,1,81,15,12,3,2
chr7,173331955,Zm00001eb327030,2.6794854885435906,181,232.0,25,54,17,12,7,1
chr7,173667431,Zm00001eb327110,2.1224344819281495,179,213.0,3,50,19,12,3,3
chr7,174664944,Zm00001eb327480,1.751090382141502,64,64.0,1,46,10,17,6,2
chr7,175668363,Zm00001eb327810,1.7000016003088825,105,315.5,20,22,12,3,3,1
chr7,175680502,Zm00001eb327830,2.3878964371314235,456,559.0,25,154,27,19,9,1
chr7,176262487,Zm00001eb328010,1.9647970392261265,97,151.0,18,82,11,73,9,1
chr7,176970350,Zm00001eb328440,6.513330994649963,336,390.0,25,212,23,16,6,2
chr7,179464147,Zm00001eb329360,4.1646562021484925,254,327.0,19,82,16,9,4,3
chr7,179751510,Zm00001eb329550,1.8798292276384685,405,485.0,25,239,25,32,10,2
chr7,180810886,Zm00001eb329970,2.173099184046629,297,350.0,25,128,21,21,9,1
chr7,181733597,Zm00001eb330450,2.9306116708948107,215,244.0,2,92,21,5,2,1
chr7,184184149,Zm00001eb331730,2.510958997747418,77,158.5,10,33,8,32,8,1
chr8,1617992,Zm00001eb332500,2.437675494292419,259,340.0,15,170,25,20,8,1
chr8,1749181,Zm00001eb332530,1.1478488548900925,68,159.0,25,26,10,21,8,1
chr8,8506709,Zm00001eb334370,2.5248681663994876,270,384.0,25,149,15,35,6,4
chr8,8775687,Zm00001eb334480,2.4471928673778685,483,956.0,3,167,28,17,5,3
chr8,10520954,Zm00001eb334810,1.9462046699975093,224,317.0,25,98,22,20,5,2
chr8,13302694,Zm00001eb335380,3.8109937345835183,98,234.0,18,41,15,28,12,1
chr8,14488803,Zm00001eb335790,5.730815164538821,163,356.0,25,106,16,15,7,1
chr8,14821883,Zm00001eb335870,2.0682081316758447,183,221.0,25,106,22,7,5,1
chr8,17930775,Zm00001eb336750,1.4278999050363927,187,286.0,25,82,20,14,6,1
chr8,19585956,Zm00001eb337140,2.5272997434692557,141,150.0,3,47,14,16,10,1
chr8,22431123,Zm00001eb337820,3.057842496153543,63,310.0,11,6,5,5,4,1
chr8,35510978,Zm00001eb339970,2.2879860081957872,376,490.0,14,169,22,17,6,1
chr8,63618585,Zm00001eb342350,2.869637650985566,121,148.0,24,64,16,9,3,1
chr8,74324726,Zm00001eb344390,5.125252714907451,268,297.0,25,96,21,11,5,1
chr8,95195123,Zm00001eb347380,2.113338649333199,110,233.0,5,49,16,22,10,1
chr8,107751729,Zm00001eb349530,6.414710185889344,121,146.0,23,44,15,11,9,1
chr8,111330142,Zm00001eb350050,2.270372570453316,155,437.0,25,68,16,16,9,1
chr8,116309207,Zm00001eb350800,3.043002445624664,123,211.0,17,40,11,7,5,1
chr8,120328484,Zm00001eb351640,4.244194216337269,60,77.0,23,7,5,4,3,1
chr8,120770399,Zm00001eb351780,2.2373508295204845,653,717.5,2,208,31,12,6,4
chr8,121249849,Zm00001eb351910,2.6652840215089357,172,257.0,25,68,15,19,7,1
chr8,121472803,Zm00001eb351960,1.470523439041034,234,352.0,12,88,22,13,9,1
chr8,122598520,Zm00001eb352310,5.150081652451887,128,264.0,21,40,14,7,4,1
chr8,125692145,Zm00001eb352940,2.9148668990011504,290,430.0,25,127,24,15,7,1
chr8,132884231,Zm00001eb354530,2.7259268863491086,144,214.0,25,63,20,22,7,1
chr8,135407191,Zm00001eb355170,7.387917666386748,497,612.0,25,189,29,20,5,9
chr8,138292923,Zm00001eb356090,2.489816512747927,412,706.0,25,207,32,30,11,1
chr8,139542115,Zm00001eb356410,1.002036770545491,73,93.0,3,35,10,32,9,1
chr8,139633555,Zm00001eb356430,2.9344690963873594,729,729.0,1,399,30,14,5,5
